
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 16:00-03/26 00:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       38.98,        22.95,        5.64,         5.17,          2.76,          .93
03/02 16:30-03/26 00:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.81,         5.69,         .73,         1.42,          1.24,          .12
03/02 16:30-03/26 00:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.01,        22.62,        3.57,         5.98,          3.87,          .98
03/02 16:30-03/26 00:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       37.57,        28.57,         4.5,        10.58,          5.48,         1.63
03/02 16:30-03/26 00:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.72,        23.28,        5.32,         3.02,          2.49,          .29
03/02 17:00-03/26 01:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.26,         5.08,         .74,         1.87,          1.36,           .2
03/02 17:00-03/26 01:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       24.62,        19.56,        3.39,         5.83,          3.87,          .71
03/02 17:00-03/26 01:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.38,        22.98,        2.77,         7.29,          4.82,         1.38
03/02 17:00-03/26 01:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       25.86,        20.58,        3.46,         3.04,           2.3,          .38
03/02 17:30-03/26 02:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.75,         5.44,         .72,         2.09,           1.4,          .24
03/02 17:30-03/26 02:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.15,        22.14,        5.99,         5.43,          3.81,          .92
03/02 17:30-03/26 02:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       32.64,        25.89,        5.02,         5.43,          3.56,         1.02
03/02 17:30-03/26 02:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       34.37,        20.06,        4.92,         3.75,          2.83,          .51
03/02 18:00-03/26 03:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.21,         5.31,          .7,         2.01,          1.55,          .31
